Year,Cash,Stocks,Bonds,Savings,Total
1,105000.0,201229.60824742267,41916.45360824742,158100.0,506246.0618556701
2,110000.0,258501.35268241045,54403.84047937082,166362.0,589267.1931617812
3,115000.0,322527.8565507388,67489.51479116286,174789.24,679806.6113419016
4,120000.0,394105.7915000488,81202.14129673451,183385.02479999998,778692.9575967833
5,125000.0,474125.7904389886,95571.75811593496,192152.725296,886850.2738509236
6,130000.0,563583.5295414443,110629.84253519266,201095.77980192,1005309.1518785569
7,135000.0,663592.1172874849,126409.37995991486,210217.6953979584,1135219.1926453582
8,140000.0,775395.9446958946,142944.93617048918,219522.04930591755,1277862.9301723014
9,145000.0,900386.1690845431,160272.73304016682,229012.4902920359,1434671.392416746
10,150000.0,1040118.0240205721,178430.72788069127,238692.7400978766,1607241.49199914
11,155000.0,1196330.1708453656,197458.69658948225,248566.59489983413,1797355.462334682
12,160000.0,1370966.332562266,217398.32078051276,258637.92679783082,2007002.5801406095
13,165000.0,1566199.4792740736,238293.2790897432,268910.68533378746,2238403.4436976044
14,170000.0,1784458.8661058994,260189.34285512127,279388.8990404632,2494037.108001484
15,175000.0,2028460.2600419605,283134.47638073866,290076.6770212725,2776671.4134439714
16,180000.0,2301239.731784064,307178.9420047783,300978.21056169795,3089396.88435054
17,185000.0,2606191.4330985215,332375.41020140727,312097.77477293194,3435664.618072861
18,190000.0,2947109.8297090405,358779.0749577992,323439.73026839056,3819328.63493523
19,195000.0,3328236.915232786,386447.77467902476,335008.5248737584,4244693.214785569
20,200000.0,3754314.9936351483,415442.1188856567,346808.69537123357,4716565.8078920385
21,205000.0,4230645.686966937,445825.62098162784,358844.86927865824,5240316.177227223
22,210000.0,4763155.902607933,477664.8373831744,371121.7666642314,5821942.506655338
23,215000.0,5358471.580836755,511029.51331363386,383644.20199751604,6468145.296147905
24,220000.0,6024000.140356393,545992.7355834667,396417.08603746636,7186409.961977325
25,225000.0,6768022.6476319935,582631.092690174,409445.4277582157,7985099.168080383
26,230000.0,7599796.856889406,621024.8425888164,422734.33631338,8873556.035791602
